event_id,stations,network_time,ref_time,feature_0,feature_1a,feature_3,feature_4,feature_5,feature_10,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_24,feature_27,feature_28,feature_29,feature_30,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_68,feature_70,feature_71,kmeansLabels
20101214T003519Z,"['2C.BB06.', '2C.BB12.', '2C.BB08.']",5.865946803,2010-12-14T00:35:19.747027Z,1.520045407,-0.060895598,0.040610856,0.730911133,-0.250544611,-0.505835902,0.023059722,-0.139407778,-0.388197381,-0.247822663,-0.220668963,-0.69755956,-0.100902015,-0.150805976,0.153790158,-0.014154621,-0.474169307,-0.18092698,-0.852218445,-0.237089928,0.084773942,-0.355195483,0.16452278,-0.28903703,-0.138035957,0.096809563,0.278385675,-0.527307996,-0.913187407,-2.096251461,4
20101214T011140Z,"['2C.BB08.', '2C.BB12.', '2C.BB07.']",5.865946803,2010-12-14T01:11:40.022973Z,2.28006811,-1.03454694,1.501974272,-2.049938871,-0.265754194,-0.529441677,-0.152572829,-0.399906937,-0.672804169,-0.587817314,-0.459201343,-0.187695882,0.060750174,0.121343953,0.015711239,-0.01396852,-0.755270108,-0.38991988,-0.694298915,-0.222678552,-0.087346192,-0.540963572,-0.765988211,-0.244516976,-0.575872265,0.318740324,-0.772338478,-0.597927947,-0.723938938,-1.235592118,4
20101214T014041Z,"['2C.BB12.', '2C.BB03.', '2C.BB10.']",5.865946803,2010-12-14T01:40:41.352026Z,1.013363604,0.172383261,-0.236906655,0.454594172,-0.212081394,0.116900744,0.020119874,-0.289120413,-0.609247778,-0.97971533,-0.105532418,-0.524118407,0.092157585,-0.147295043,0.291908775,0.121036607,-0.398065856,0.015684264,-0.297634624,0.219637018,-0.166891886,-0.280647341,-0.01445027,0.160718573,0.23949282,1.308273609,0.47178538,-1.494860676,0.193736585,-1.444951328,4
20101214T014729Z,"['2C.BB10.', '2C.BB03.', '2C.BB12.']",5.865946803,2010-12-14T01:47:29.397027Z,0.506681802,-0.958227531,0.731889708,0.401273889,-0.247945221,0.410490268,-0.355112443,-0.348239227,-0.848938506,-0.517624311,-0.788739,-0.315189863,-0.446625387,0.170375511,0.075832507,-0.103559601,-0.651150388,-0.215904807,0.36865996,-0.145543501,-0.427123814,-0.612717415,-0.309263925,-0.123639304,-0.062407317,0.669074217,0.265889602,0.244701435,0.079892173,-0.899124126,4
20101214T020543Z,"['2C.BB12.', '2C.BB10.', '2C.BB08.', '2C.BB14.']",5.865946803,2010-12-14T02:05:43.402974Z,2.28006811,0.767261805,-0.702720154,1.11348373,-0.267572773,1.021100588,0.221632338,0.157721911,0.222268359,-0.392969119,-0.175796796,0.034552668,-0.13559299,-0.091213467,0.836835132,0.307936031,-0.280924257,-0.267414691,-0.026974711,-0.09910745,0.380836107,0.155277767,-0.161468844,0.310995397,0.348883044,1.287149936,0.138201317,-1.298278543,0.025420269,-1.374500516,3
20101214T020933Z,"['2C.BB14.', '2C.BB12.', '2C.BB10.']",5.865946803,2010-12-14T02:09:33.927973Z,0.506681802,0.531274052,-0.682126136,0.923329831,0.021954785,0,0.048724706,-0.065818044,-0.118190312,-0.337674892,-0.383814464,-0.259112074,0.217066839,0.133683626,0.588895762,0.644776984,-0.417616857,-0.139401637,-0.058411415,0.01934936,0.090258033,-0.086192477,-0.365478783,-0.042210776,0.134552747,0.95486586,0.372088978,-0.310207192,0.417935207,-1.959941627,4
20101214T025140Z,"['2C.BB03.', '2C.BB12.', '2C.BB07.', '2C.BB10.']",5.865946803,2010-12-14T02:51:40.547973Z,0.506681802,0.813057316,-0.403544918,1.47752915,-0.168521878,-0.148261168,0.140959119,0.153161388,0.326077327,-0.1188161,-0.122955091,1.207514057,0.134824748,-0.014413274,0.720463888,0.403301701,-0.218940726,-0.105208698,0.021395931,0.001588932,0.254619875,0.134005461,-0.264166747,0.338710936,0.261426739,-0.237376641,-0.451076777,1.220803431,-0.717743448,0.216997571,0
20101214T033901Z,"['2C.BB10.', '2C.BB07.', '2C.BB12.']",5.865946803,2010-12-14T03:39:01.282027Z,-0.506681802,0.762502322,1.329425665,0.142500583,-0.678150879,0.838144175,0.021499608,-0.047027158,0.123565538,-0.833802635,-0.502708994,-0.100084534,-0.052875367,-0.1706428,0.866903981,0.464901215,-0.402162276,-0.24485992,0.489764251,0.1508681,0.32857297,0.134490168,-0.103861666,0.119309633,0.015293424,-0.106994123,-1.294536748,-0.812343689,-0.165294653,-2.141505541,4
20101214T043854Z,"['2C.BB07.', '2C.BB10.', '2C.BB08.']",5.865946803,2010-12-14T04:38:54.362027Z,-0.506681802,-1.119141987,0.439432627,-1.335510036,-0.184786231,-0.397984052,-2.784061093,-1.555260631,-1.726766626,-0.659183494,-0.923188885,1.177041795,-0.049497936,0.202994913,-1.239641064,-0.011669601,-1.339533348,0.13907149,0.19245718,-0.243668524,-0.681509861,-1.59872686,-2.090983901,-1.950215329,-1.939520713,-0.293507186,-0.374699394,1.676369603,-0.221764377,0.666925635,6
20101214T055847Z,"['2C.BB07.', '2C.BB13.', '2C.BB08.']",5.865946803,2010-12-14T05:58:47.157027Z,-0.506681802,-0.507904532,0.036693553,2.062715369,0.399533893,-0.641549177,0.014137992,-0.240328326,-0.652103436,-0.445246972,-0.715757454,0.878692696,0.817796781,0.231321019,0.242242581,1.174559888,-0.904701324,-0.120299532,0.320736644,0.241698306,0.239268554,-0.431333925,-0.78001142,-0.890957449,-0.889005338,-0.394444981,-1.420173484,-1.066644407,0.135078791,-1.560976941,4
