event_id,stations,ref_time,ref_duration,ref_amplitude,known_seismicity_labels
20101215T121828Z,"['2C.BB07.', '2C.BB01.', '2C.BB08.', '2C.BB10.']",2010-12-15T12:18:28.842027Z,47.820946,1422.514,
20101215T125812Z,"['2C.BB06.', '2C.BB07.', '2C.BB10.']",2010-12-15T12:58:12.477026Z,2.140947,790.9574038,
20101215T133516Z,"['2C.BB13.', '2C.BB16.', '2C.BB01.', '2C.BB14.', '2C.BB08.', '2C.BB12.', '2C.BB11.', '2C.BB15.', '2C.BB17.', '2C.BB07.', '2C.BB03.', '2C.BB06.', '2C.BB10.', '2C.BB04.']",2010-12-15T13:35:16.367027Z,342.575947,184421.8146,"STICK-SLIP, PRATT14"
20101215T134513Z,"['2C.BB10.', '2C.BB04.', '2C.BB14.', '2C.BB03.', '2C.BB07.']",2010-12-15T13:45:13.022027Z,67.355946,32985.1915,"STICK-SLIP, PRATT14"
20101215T161239Z,"['2C.BB07.', '2C.BB12.', '2C.BB10.']",2010-12-15T16:12:39.682027Z,7.815947,933.3771907,
20101215T174315Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.']",2010-12-15T17:43:15.037026Z,0.525947,205.0445932,
20101215T175909Z,"['2C.BB07.', '2C.BB12.', '2C.BB16.']",2010-12-15T17:59:09.942973Z,28.52,1067.688519,
20101215T180633Z,"['2C.BB07.', '2C.BB16.', '2C.BB13.']",2010-12-15T18:06:33.127973Z,51.085,1250.333081,
20101215T182938Z,"['2C.BB12.', '2C.BB07.', '2C.BB17.']",2010-12-15T18:29:38.772026Z,2.965947,757.3034851,
20101215T185217Z,"['2C.BB13.', '2C.BB10.', '2C.BB12.', '2C.BB07.']",2010-12-15T18:52:17.987973Z,11,858.3682949,
20101215T185949Z,"['2C.BB07.', '2C.BB12.', '2C.BB13.']",2010-12-15T18:59:49.602974Z,1.415,517.3083119,
20101215T190903Z,"['2C.BB12.', '2C.BB17.', '2C.BB13.']",2010-12-15T19:09:03.607027Z,5.125947,768.6878279,
20101215T191555Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.']",2010-12-15T19:15:55.472973Z,5.645,932.3405829,
20101215T194958Z,"['2C.BB13.', '2C.BB07.', '2C.BB12.']",2010-12-15T19:49:58.442027Z,2.885947,893.9639683,
20101216T004108Z,"['2C.BB01.', '2C.BB07.', '2C.BB12.', '2C.BB10.']",2010-12-16T00:41:08.132973Z,16.74,486.0156874,
