event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101215T035029Z,"['2C.BB10.', '2C.BB06.', '2C.BB12.', '2C.BB01.', '2C.BB13.', '2C.BB16.', '2C.BB15.', '2C.BB08.', '2C.BB03.']",5.86594680276,2010-12-15T03:50:29.827027Z,2369.800947,9843.67950193,137245798227.0,amplitude
20101215T045023Z,"['2C.BB17.', '2C.BB15.', '2C.BB08.', '2C.BB16.']",5.86594680276,2010-12-15T04:50:23.647973Z,57.16,1215.14188557,22101341.4429,amplitude
20101215T060530Z,"['2C.BB03.', '2C.BB17.', '2C.BB08.']",5.86594680276,2010-12-15T06:05:30.167973Z,1.38,288.594803019,34195.5847653,amplitude
20101215T114128Z,"['2C.BB01.', '2C.BB10.', '2C.BB07.', '2C.BB08.']",5.86594680276,2010-12-15T11:41:28.807027Z,41.835947,1298.63959957,7895966.29766,amplitude
20101215T115124Z,"['2C.BB12.', '2C.BB10.', '2C.BB08.', '2C.BB01.', '2C.BB13.', '2C.BB07.', '2C.BB15.']",5.86594680276,2010-12-15T11:51:24.292026Z,107.300947,2758.21697175,129570987.235,amplitude
20101215T121828Z,"['2C.BB07.', '2C.BB01.', '2C.BB08.', '2C.BB10.']",5.86594680276,2010-12-15T12:18:28.842027Z,47.820946,1422.51399966,33011052.9486,amplitude
20101215T125812Z,"['2C.BB06.', '2C.BB07.', '2C.BB10.']",5.86594680276,2010-12-15T12:58:12.477026Z,2.140947,790.957403823,314920.833054,amplitude
20101215T133516Z,"['2C.BB13.', '2C.BB16.', '2C.BB01.', '2C.BB14.', '2C.BB08.', '2C.BB12.', '2C.BB11.', '2C.BB15.', '2C.BB17.', '2C.BB07.', '2C.BB03.', '2C.BB06.', '2C.BB10.', '2C.BB04.']",5.86594680276,2010-12-15T13:35:16.367027Z,342.575947,184421.814625,1.35137756922e+12,amplitude
20101215T134513Z,"['2C.BB10.', '2C.BB04.', '2C.BB14.', '2C.BB03.', '2C.BB07.']",5.86594680276,2010-12-15T13:45:13.022027Z,67.355946,32985.1914984,27652140443.6,amplitude
20101215T161239Z,"['2C.BB07.', '2C.BB12.', '2C.BB10.']",5.86594680276,2010-12-15T16:12:39.682027Z,7.815947,933.377190671,2546799.35251,amplitude
20101215T174315Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.']",5.86594680276,2010-12-15T17:43:15.037026Z,0.525947,205.044593167,6521.33919003,amplitude
20101215T175909Z,"['2C.BB07.', '2C.BB12.', '2C.BB16.']",5.86594680276,2010-12-15T17:59:09.942973Z,28.52,1067.68851899,11489178.3741,amplitude
20101215T180633Z,"['2C.BB07.', '2C.BB16.', '2C.BB13.']",5.86594680276,2010-12-15T18:06:33.127973Z,51.085,1250.33308088,18563836.4455,amplitude
20101215T182938Z,"['2C.BB12.', '2C.BB07.', '2C.BB17.']",5.86594680276,2010-12-15T18:29:38.772026Z,2.965947,757.303485077,569507.709541,amplitude
20101215T185217Z,"['2C.BB13.', '2C.BB10.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-15T18:52:17.987973Z,11.0,858.368294877,3693454.00126,amplitude
20101215T185949Z,"['2C.BB07.', '2C.BB12.', '2C.BB13.']",5.86594680276,2010-12-15T18:59:49.602974Z,1.415,517.308311948,119112.358973,amplitude
20101215T190903Z,"['2C.BB12.', '2C.BB17.', '2C.BB13.']",5.86594680276,2010-12-15T19:09:03.607027Z,5.125947,768.687827886,1620363.11515,amplitude
20101215T191555Z,"['2C.BB07.', '2C.BB13.', '2C.BB12.']",5.86594680276,2010-12-15T19:15:55.472973Z,5.645,932.340582925,2145603.11191,amplitude
20101215T194958Z,"['2C.BB13.', '2C.BB07.', '2C.BB12.']",5.86594680276,2010-12-15T19:49:58.442027Z,2.885947,893.963968347,630762.4711,amplitude
20101216T004108Z,"['2C.BB01.', '2C.BB07.', '2C.BB12.', '2C.BB10.']",5.86594680276,2010-12-16T00:41:08.132973Z,16.74,486.015687446,1435409.66801,amplitude
